Abbreviation,Full-Form,Type,Pronunciation
GIO,Geographic Information Officer; Geographic Investigations Office (USGS); Geospatial Information Office (USGS),acronym,
GIPS,Generalized Image Processing Sytstem,acronym,
GIR,Geographic information retrieval,acronym,
GIRAS,Geographic Information Retrieval and Analysis System (USGS),acronym,
GIS,Geographic(al) information system(s); Geohydrologic Information System; Geoscience Information Society; Global Indexing System,acronym,
GISCI,GIS Certification Institute,initialism,GIS CI
GISCO,Geographic Information System of the European Commission,acronym,
GISDEX,Federal Geographic Information and Spatial Data Exposition and Conference (U.S.),acronym,GIS DIX
GISIC,Geographical Information Systems International Group,acronym,
GISMO,GIS MOdeling (ERDAS),acronym,
GISOM,Generating Information and Scanning Ohio Maps (Ohio State Univ. Center for Mapping),acronym,
GISP,GIS professional,initialism,
GISS,Goddard Institude of Space Studies,acronym,
GISS-SG,Geographic Information Systems and Science Specialty Group (AAG),initialism,GISS - SG
GIST,Geographic Information System for Transportation,acronym,
GIScience,Geographic information science,acronym,GI Science
GIT,Geomatics information technology; General Information Technology; Global Imaging Technologies (Firm),acronym,
GITA,Geospatial Information & Technology Assn.,acronym,
GITC,Geomatics Information Trading Center,initialism,
GITCO,Government Information Technology Committee (GODORT),acronym,
GIU,Geographic Information Unit (US Dept. of State),initialism,
GIV,Geologic Information Visualization (software),initialism,
GKP,Geodeticky a Kartograficky Podnik v Praze,initialism,
GKS,Graphics Kernal System,initialism,
GLAB,Bayerisches Geologisches Landesamt,acronym,
GLAB-W,Geologisches Landesamt Baden-Wurttemberg,initialism,GLAB - W
GLAI,Green leaf area index,initialism,
GLAN-W,Geologisches Landesamt Nordrhein-Westfalen,initialism,GLAN - W
GLAS,Geoscience Laser Altimeter System; Geologisches Landesamt des Saarlandes,acronym,
GLAS-H,Geologisches Landesamt Schleswig-Holstein,initialism,GLAS - H
GLCF,Global Land Cover Facility,initialism,
GLDAS,Global Land Data Assimilation System (NASA),initialism,
GLI,Global Imager,initialism,
GLIS,Geographic Land Information System (USGS); Geographic and Land Information Society,acronym,GLIS
GLM,General linear model; GEO Lightning Mapper,initialism,
GLO,General Land Office (U.S.),initialism,
GLOBE,Global Learning and Observations to Benefit the Environment,acronym,
GLONASS,Global Orbiting Navigation Satellite System (Russia),acronym,
GLOSS,Global Observation Surveillance System,acronym,
GLR-P,Geologisches Landesamt Rheinland-Pfalz,initialism,GLR - P
GLRS,Geoscience Laser Ranging System,initialism,
GLT,Geospatial Light Table (ERDAS IMAGINE),initialism,
GLTN,Global Land Tool Network,initialism,
GM,Geography and Map; Geologic map,initialism,
GMAT,Greenwich Mean Astronomical Time,initialism,GMAT
GMD,Geologisch Mijnbouwkundige Dienst van Suriname,initialism,
GMDC,Geospatial Map and Data Centre (Ryerson University),initialism,
GME,Geohydrologic Map Editor,initialism,
GML,Geography Markup Language,initialism,
GMR,Government Micro Resources Inc.,initialism,
GMS,Geostationary meteorological satellite(s); Geographic Measurement Systems (Firm),initialism,
GMT,Greenwich Mean Time; Generic Mapping Tools,initialism,
GN,Grid north,initialism,
GNC,Geologic Names Committee; Global navigation chart,initialism,
GNDB,Geographic Names Data Base (US National Geospatial-Intelligence Agency),initialism,
GNIAG,Geomatics Niagara Information Advisory Group,initialism,
GNIS,Geographic Names Information System (U.S.),initialism,
GNMP,Gettysburg National Military Park,initialism,
GNS,GEOnet Names Server (USNIMA),initialism,
GNSS,Global Navigation Satellite System,initialism,
GNU,Geologic Names Unit (USGS),initialism,
GNULEX,Geologic Names Unit Lexicon (USGS),initialism,
GO,Geometric Operations,acronym,
GODORT,Government Documents Round Table (ALA),acronym,
GOES,Geostationary Operational Environmental Satellite (NASA),acronym,
GOME,Global Ozone Monitoring Experiment,acronym,
GOMS,Geostationary Operational Meteorological Satellite(s),initialism,
GOS,Geospatial One-Stop,initialism,
GOS-PI,Geospatial One-Stop Portal Initiative (Open GIS Consortium),initialism,
GP,Graphic production; Graphics processor; Geography Program (USGS),initialism,
GP.MC,Geoprocessing Map Call,initialism,GM MC
GP.MCD,Geoprocessing Map Call Deamon program,initialism,GP MCD
GPF,Geospatial Prototype Facility,initialism,
GPG,Graphic Product Generation,initialism,
GPH,Geological Publishing House (China),initialism,
GPI,Graphics Programming Interface; Greenman Pedersen Inc.,initialism,
GPIP,General Purpose Image Processor,initialism,
GPM,Gestalt Photo Mapper,initialism,
GPO,Government Printing Office,initialism,
GPOS,Government Printing Office Style Manual,initialism,
GPPU,Graphic Polygon Processing Utilities,initialism,
GPR,Ground-Penetrating Radar,initialism,
GPS,Global positioning system(s),initialism,
GPSDR,Global positioning system demonstration receiver,initialism,
GPSIC,Global Positioning System Information Center (U.S. Coast Guard); GPS Industry Council,initialism,
GPSOS,Global Positioning System Occultation Sensor,initialism,
GPST,Global positioning system time,initialism,
GPT,GIS Portal Toolkit (ESRI),initialism,
GPW2,Gridded Population of the World (dataset),initialism,
GQ,Geologic quadrangle,initialism,
GQL,Graphical Query Language,initialism,
GRACE,Gravity Recovery and Climate Experiment,acronym,
GRAMPS,Graphic Map Production System,acronym,
GRASS,Geographic Resource Analysis Support System,acronym,
GRB,Government Records Branch (Library and Archives of Canada; National Archives of Canada),initialism,
GRC,Generation of reproducible copy; Geoscience Research Corp.,initialism,
GRD,Ground Resolved Distance,initialism,
GRDL,Geodetic Research and Development Laboratory,initialism,
GRE,"Geologic Resources Evaluaion (program, US NPS)",initialism,
GRF-N,Geographic Reference File-Names,initialism,GRF - N
GRIDS,Grid Referenced Information Display System; Gridded Resource Inventory Data System,acronym,
GRS,Geodetic Reference System,initialism,
GRS 80,Geodetic Reference System of 1980,initialism,GRS 80
GRSU,"Geography Remote Sensing Unit (Univ. of California, Santa Barbara)",initialism,
GS,Geological Survey (U.S.); Gray scale,initialism,
GSA,General Services Administration (U.S.); Geological Society of America; Geological Survey of Alabama,initialism,
GSC,Geological Survey of Canada; Geographic Systems Corp.; Geotronics Service Center; Geocode Service Center (HUD),initialism,
GSD,Ground sample distance; Geological Survey Dept. (Malawi); Geological Survey Div. (Jamaica); Geodetic Survey Div. (Natural Resources Canada),initialism,
GSDI,Global Spatial Data Infrastructure,initialism,
GSDM,Global Spatial Data Model,initialism,
GSDS,Global spatial data system,initialism,
GSF,Generic Sensor Format,initialism,
GSFC,Goddard Space Flight Center (NASA),initialism,
GSGS,"Geographical Section, General Staff (U.K.)",initialism,
GSHAP,Global Seismic Hazard Assessment Program,initialism,
GSI,"Geographical Survey Inst. (Japan); Geological Survey of India; Geological Survey of Iran; Geological Survey Inst. (Japan); Geological Survey of Ireland; Geophysical Services Inc.; Geospatial Systems, Inc.",initialism,
GSJ,Geological Survey of Japan,initialism,
GSK,Geological Survey of Kenya,initialism,
GSL,Geographic Sciences Laboratory (USCE),initialism,
GSM,Graphic Standard Metafile,initialism,
GSMD,Geological Survey and Mines Dept. (Swaziland),initialism,
GSN,Geological Survey of Namibia,initialism,
GSNI,Geological Survey of Northern Ireland,initialism,
GSP,Geological Survey of Pakistan; Geographical statistics program,initialism,
GSPB,Geodetic Satellite Policy Board,initialism,
GSPNG,Geological Survey Papua New Guinea,initialism,
GSRC,Geological Survey Research Committee,initialism,
GSS,Geographic support system,initialism,
GSSA,Geological Survey South Africa,initialism,
GST,Galileo System Time,initialism,
GSTC,Geospatial Service and Technology Center (USFS),initialism,
GSW,Geological Survey of Wyoming; GeoScienceWorld,initialism,
GSWA,Geological Survey of Western Australia,initialism,
GSZ,Geological Survey of Zambia,initialism,
GT,Geometry and topology; Greater than; Geologian Tutkimuskeskus = Geological Survey of Finland,initialism,
GTA,Greater Toronto Area,initialism,
GTCM,Geospatial Technology Competency Model (US Dept. of Labor),initialism,
GTE,Greater than or equal,initialism,
GTI,GIS Technology Inc.,initialism,
GTS,GPS Timing Simulator (NovAtel Inc.); Great Trigonometrical Survey of India,initialism,
GTUB,Geographic tabulation unit base,initialism,G TUB
GU,Government unit; Guam,initialism,
GUDS,Geologicky ustav Dionyz Stur,acronym,
GUGK,Glavnoe Upravlenie Geodezii i Kartografii (USSR),initialism,
GUGKK,Glavno Upravlenie po Geodezia I Kartografia y Kadaster (Bulgaria),initialism,
GUGiK,Glowny Urzad Geodezji i Kartografii (Poland),initialism,
GUI,Graphical User Interface,initialism,
GUID,Globally unique identifier,acronym,
GUIDE,Geomatics Utilization Inventory and Design Environment,acronym,
GUNI,Goteborgs Universitet Naturgeografiska Institutionen,acronym,
GUNO,Glavnoe Upravlenie Navigatsii i Okeanografii (USSR),acronym,
GVF,Goodness of variance fit,initialism,
GVI,Green vegetation index,initialism,
GVIS,Geographic Visualization,initialism,GVIS
GVis,Geographic Visualization,initialism,GVis
GW,Gas well (natural); Ground water,initialism,
GWE,Global Weather Experiment,initialism,
GWEN,Ground Wave Emergency Network (U.S.),acronym,
GWSI,Groundwater site inventory,initialism,
GXL-A,GeoImaging Accelerator Aerial (PCI Geomatics and Vexcel Imaging GmbH),initialism,GXL-A
GZD,Grid Zone Designation,initialism,
Ga.,Georgia,initialism,
Gbo.,Grabador = engraver,initialism,
GeoLoB,Geospatial Line of Business,initialism,
GeoTMS,Geographic Town Management System (Des Lauriers & Assoc. Inc.),initialism,
Geocorr,Geographic Correspondence Engine,initialism,
Geog.,Geography,initialism,
Geol.,Geology,initialism,
Ges.,Gesamt-,initialism,
Gl.,Gleis,initialism,
GoC,Government of Canada,initialism,
GoMMapP,Gulf of Maine Mapping Portal,initialism,Go M MapP
Gov.,Governor,initialism,
Gov. Gen.,Governor General,initialism,Gov. Gen.
Gr.,Grosse,initialism,
H-GAC,Houston-Galveston Area Countil,initialism,H-GAC
H.,Hohe = height; Howitzer,initialism,H.
H. St.,Eisenbahn Haltstelle = railway stop,initialism,H. St.
"H., T.C.",Thomas Campanius Holm,initialism,"H., T.C."
H.O.,Hochofen = blast furnace,initialism,H.O.
H.S.,H. Schleifmann,initialism,H.S.
H.W.,Hochwasser,initialism,H.W.
H/W,Hardware,initialism,H / W
HA,Hydrologic Investigations Atlas or Hydrologic Atlas (USGS),initialism,
HABS,Historic American Buildings Survey,acronym,
HAC,Harbor and Approach Chart,acronym,
HALS,Hawaii Assn. of Land Surveyors,acronym,
HANDGPS,High Accuracy Nationwide Differential GPS,initialism,HAND GPS
HARN,High-Accuracy Reference Network (U.S.),initialism,
HAZUS,Hazards U.S.,initialism,
HAZUSMH,Hazards U.S. multihazard version,initialism,
HBCA,Hudson Bay Company Archives,initialism,
HBF,Herbert Bismarck Foster,initialism,
HBGN,Hawaii Board on Geographic Names,initialism,
HBM,Hydrologic bench mark,initialism,
HBMN,Hydrologic Bench Mark Network,initialism,
HC,Hard copy,initialism,
HCC,Heat Capacity Mapping Mission,initialism,
HCDN,Hydroclimate Data Network,initialism,
HCFCD,Harris County (Texas) Flood Control District,initialism,
HCMM,Heat-capacity Mapping Mission,initialism,
HCMR,Heat-capacity Mapping Radiometer,initialism,
HCRS,Heritage Conservation and Recreation Service (U.S.),initialism,
HD,Hydrographic Dept. (Great Britain),initialism,
HDDT,High-Density Digital Tape,initialism,
HDLD,Headland,initialism,
HDOP,Horizontal Dilution of Precision,initialism,H DOP
HDS,High-Definition Surveying (Leica Geosystems),initialism,
HDT,High density tape,initialism,
HDT-A,High density tape (not geometrically corrected),initialism,
HDTR,High density tape recorder,initialism,
HDTV,High-definition television,acronym,
HE/S,Hardcopy Exploitation Segment,acronym,
HEIRS,Historic Environmental Reporting System (IAO),acronym,
HEPS,High Energy Particle Sensor,acronym,
HF,High frequency,initialism,
HFA,Hydrologic field assistant,initialism,
HFI,"Hall & Foreman, Inc.",initialism,
HGCSD,Harris-Galveston Coastal Subsidence District (U.S.),initialism,
HGML,Hyper Graphic Markup Language,initialism,
HGS,Halliburton Geophysical Services,initialism,
HHG,Household goods (Rand McNally MileMaker),initialism,
HI,Hawaii,acronym,
HIA,Hydrologic Investigations Atlas,acronym,
HID,Historical Imagery Declassification (NIMA),initialism,
HIF,Hydrologic Instrumentation Facility,initialism,
HIND,Geographical Section General Staff (India [Headquarters India]),acronym,
HIRAN,High Range Navigation,acronym,
HIRS,High-resolution Infrared Sounder,acronym,
HIS,Hydrologic Information System; Hyperspectral imagery,acronym,
HISS,Heritage Information Statistical System,acronym,
HIT,Horizons Technolgy Inc.,acronym,
HIU,Hydrologic Information Unit,initialism,
HJW,"Hammon, Jensen, Wallen & Associates; HJW GeoSpatial, Inc.",initialism,
HKGA,Hong Kong Geographical Assn.,acronym,
HLAB,Hessisches Landesamt fur Bodenforschung,initialism,H-LAB
HLL,Hill,acronym,
HLLS,Hills,acronym,
HLR,High level radiation; High level radioactivity,initialism,
HLRS,Highway Location Reference Standard,initialism,
HLS,"Hue, lightness and saturation",initialism,
HLVA,Hessisches Landesvermessungsamt,acronym,
HLW,High level waste (radioactivity),initialism,
HLfB,Hessisches Landesamt fur Bodenforschung,initialism,
HMCK,Hummock,initialism,
HMGS,Hellenic Military Geographical Service,initialism,
HMSO,Her/His Majesty's Stationery Office (Great Britain),initialism,
HOGG,History of Geology Group,acronym,
HOM,Hotine oblique Mercator,acronym,
HP,Hewlett-Packard (corp.),initialism,
HPFS,High pressure fire service,initialism,
HPGL,Hewlett Packard Graphics Language,initialism,
HPGN,High-Precision Geodetic Network,initialism,
HPP,High Precision Photogrammetry,initialism,
HPRASA,High Plains Regional Aquifer System,acronym,
HQ,Headquarters,initialism,
HR,House of Representatives; High resolution,initialism,
HRB,Highway Research Board,initialism,
HRD,High-resolution data,initialism,
HRDB,High-resolution Data Base,initialism,
HRDI,High-resolution Doppler Imager,initialism,
